"city_mpg","highway_mpg","horsepower"
"18","25","250"
"22","28","200"
"21","30","200"
"21","28","200"
"21","28","200"
"16","27","265"
"17","26","265"
"13","18","350"
"14","20","280"
"22","30","211"
"21","27","211"
"17","26","265"
"20","29","280"
"18","26","305"
"12","17","555"
"12","17","555"
"12","17","555"
"12","17","555"
"18","25","185"
"18","25","185"
"18","25","185"
"18","25","185"
"18","25","185"
"18","25","185"
"18","25","185"
"20","26","185"
"18","25","185"
"13","18","310"
"9","12","310"
"13","17","310"
"13","17","310"
"8","12","280"
"8","12","324"
"10","13","310"
"13","17","310"
"15","20","195"
"14","19","302"
"15","20","195"
"15","20","195"
"15","20","195"
"14","19","302"
"18","26","350"
"18","26","350"
"18","26","350"
"21","29","227"
"21","30","227"
"21","30","227"
"21","29","227"
"9","15","530"
"8","14","621"
"8","14","621"
"8","14","621"
"12","19","621"
"8","13","552"
"11","19","600"
"10","17","600"
"10","17","600"
"10","17","552"
"19","28","227"
"20","28","227"
"19","28","227"
"21","29","168"
"21","30","227"
"21","30","227"
"20","27","227"
"20","30","250"
"18","26","300"
"18","26","325"
"18","26","300"
"19","27","240"
"15","22","311"
"16","24","281"
"18","27","235"
"21","30","227"
"20","26","227"
"20","31","168"
"17","22","300"
"18","25","240"
"16","21","281"
"18","27","235"
"18","25","240"
"17","22","300"
"16","21","281"
"16","22","235"
"17","23","270"
"17","22","270"
"17","22","270"
"17","23","270"
"17","22","270"
"16","22","240"
"14","21","311"
"15","22","235"
"13","19","311"
"18","27","235"
"18","23","157"
"17","23","270"
"17","22","270"
"17","22","270"
"17","23","270"
"17","22","270"
"21","30","200"
"17","25","271"
"21","31","190"
"22","31","190"
"21","31","190"
"19","28","271"
"22","31","190"
"21","31","190"
"22","31","190"
"18","25","332"
"18","25","332"
"18","25","332"
"18","25","332"
"18","25","332"
"18","25","332"
"18","25","332"
"18","25","332"
"21","30","200"
"18","26","332"
"18","26","332"
"19","26","332"
"18","26","332"
"21","30","200"
"19","26","332"
"18","26","332"
"18","26","332"
"19","26","332"
"21","31","211"
"21","29","211"
"21","31","211"
"21","29","211"
"29","38","120"
"29","38","120"
"29","38","120"
"38","37","120"
"28","37","120"
"28","37","120"
"21","30","227"
"21","29","227"
"21","30","227"
"21","29","227"
"21","27","211"
"22","30","211"
"21","29","168"
"20","27","227"
"21","29","211"
"21","29","211"
"23","30","211"
"23","32","190"
"22","33","190"
"17","26","271"
"23","32","190"
"19","29","271"
"22","33","190"
"22","33","190"
"29","38","120"
"29","38","120"
"28","37","120"
"28","37","120"
"22","31","177"
"21","31","177"
"22","31","177"
"21","31","177"
"22","31","190"
"21","31","190"
"22","31","190"
"21","31","190"
"19","29","271"
"20","29","268"
"20","29","268"
"18","26","332"
"18","26","332"
"18","26","332"
