FIPS_Code,State,Area_Name,Attribute,Value
00000,US,United States,PCTPOVALL_2023,12.5
01000,AL,Alabama,PCTPOVALL_2023,15.700000000000001
01001,AL,Autauga County,PCTPOVALL_2023,11.700000000000001
01003,AL,Baldwin County,PCTPOVALL_2023,10.0
01005,AL,Barbour County,PCTPOVALL_2023,25.5
01007,AL,Bibb County,PCTPOVALL_2023,19.400000000000002
01009,AL,Blount County,PCTPOVALL_2023,12.8
01011,AL,Bullock County,PCTPOVALL_2023,33.6
01013,AL,Butler County,PCTPOVALL_2023,23.6
01015,AL,Calhoun County,PCTPOVALL_2023,20.1
01017,AL,Chambers County,PCTPOVALL_2023,17.1
01019,AL,Cherokee County,PCTPOVALL_2023,15.600000000000001
01021,AL,Chilton County,PCTPOVALL_2023,15.3
01023,AL,Choctaw County,PCTPOVALL_2023,24.8
01025,AL,Clarke County,PCTPOVALL_2023,19.0
01027,AL,Clay County,PCTPOVALL_2023,16.900000000000002
01029,AL,Cleburne County,PCTPOVALL_2023,15.8
01031,AL,Coffee County,PCTPOVALL_2023,16.5
01033,AL,Colbert County,PCTPOVALL_2023,15.4
01035,AL,Conecuh County,PCTPOVALL_2023,26.5
01037,AL,Coosa County,PCTPOVALL_2023,18.2
01039,AL,Covington County,PCTPOVALL_2023,16.7
01041,AL,Crenshaw County,PCTPOVALL_2023,19.5
01043,AL,Cullman County,PCTPOVALL_2023,15.5
01045,AL,Dale County,PCTPOVALL_2023,16.6
01047,AL,Dallas County,PCTPOVALL_2023,31.400000000000002
01049,AL,DeKalb County,PCTPOVALL_2023,21.6
01051,AL,Elmore County,PCTPOVALL_2023,12.5
01053,AL,Escambia County,PCTPOVALL_2023,21.3
01055,AL,Etowah County,PCTPOVALL_2023,19.6
01057,AL,Fayette County,PCTPOVALL_2023,16.2
01059,AL,Franklin County,PCTPOVALL_2023,22.5
01061,AL,Geneva County,PCTPOVALL_2023,19.200000000000003
01063,AL,Greene County,PCTPOVALL_2023,31.0
01065,AL,Hale County,PCTPOVALL_2023,23.0
01067,AL,Henry County,PCTPOVALL_2023,16.400000000000002
01069,AL,Houston County,PCTPOVALL_2023,16.5
01071,AL,Jackson County,PCTPOVALL_2023,16.0
01073,AL,Jefferson County,PCTPOVALL_2023,16.0
01075,AL,Lamar County,PCTPOVALL_2023,16.400000000000002
01077,AL,Lauderdale County,PCTPOVALL_2023,13.600000000000001
01079,AL,Lawrence County,PCTPOVALL_2023,14.200000000000001
01081,AL,Lee County,PCTPOVALL_2023,17.900000000000002
01083,AL,Limestone County,PCTPOVALL_2023,8.6
01085,AL,Lowndes County,PCTPOVALL_2023,29.400000000000002
01087,AL,Macon County,PCTPOVALL_2023,28.8
01089,AL,Madison County,PCTPOVALL_2023,10.5
01091,AL,Marengo County,PCTPOVALL_2023,23.5
01093,AL,Marion County,PCTPOVALL_2023,19.0
01095,AL,Marshall County,PCTPOVALL_2023,16.5
01097,AL,Mobile County,PCTPOVALL_2023,16.3
01099,AL,Monroe County,PCTPOVALL_2023,19.1
01101,AL,Montgomery County,PCTPOVALL_2023,18.3
01103,AL,Morgan County,PCTPOVALL_2023,12.0
01105,AL,Perry County,PCTPOVALL_2023,33.800000000000004
01107,AL,Pickens County,PCTPOVALL_2023,21.5
01109,AL,Pike County,PCTPOVALL_2023,23.8
01111,AL,Randolph County,PCTPOVALL_2023,15.9
01113,AL,Russell County,PCTPOVALL_2023,18.900000000000002
01115,AL,St. Clair County,PCTPOVALL_2023,10.8
01117,AL,Shelby County,PCTPOVALL_2023,8.4
01119,AL,Sumter County,PCTPOVALL_2023,33.5
01121,AL,Talladega County,PCTPOVALL_2023,17.0
01123,AL,Tallapoosa County,PCTPOVALL_2023,15.100000000000001
01125,AL,Tuscaloosa County,PCTPOVALL_2023,19.200000000000003
01127,AL,Walker County,PCTPOVALL_2023,17.5
01129,AL,Washington County,PCTPOVALL_2023,18.7
01131,AL,Wilcox County,PCTPOVALL_2023,32.7
01133,AL,Winston County,PCTPOVALL_2023,16.6
02000,AK,Alaska,PCTPOVALL_2023,10.5
02013,AK,Aleutians East Borough,PCTPOVALL_2023,18.0
02016,AK,Aleutians West Census Area,PCTPOVALL_2023,10.0
02020,AK,Anchorage Borough,PCTPOVALL_2023,8.9
02050,AK,Bethel Census Area,PCTPOVALL_2023,29.3
02060,AK,Bristol Bay Borough,PCTPOVALL_2023,11.700000000000001
02063,AK,Chugach Census Area,PCTPOVALL_2023,8.700000000000001
02066,AK,Copper River Census Area,PCTPOVALL_2023,14.200000000000001
02068,AK,Denali Borough,PCTPOVALL_2023,7.800000000000001
02070,AK,Dillingham Census Area,PCTPOVALL_2023,23.400000000000002
02090,AK,Fairbanks North Star Borough,PCTPOVALL_2023,7.6000000000000005
02100,AK,Haines Borough,PCTPOVALL_2023,10.0
02105,AK,Hoonah-Angoon Census Area,PCTPOVALL_2023,17.2
02110,AK,Juneau Borough,PCTPOVALL_2023,9.1
02122,AK,Kenai Peninsula Borough,PCTPOVALL_2023,11.5
02130,AK,Ketchikan Gateway Borough,PCTPOVALL_2023,9.3
02150,AK,Kodiak Island Borough,PCTPOVALL_2023,8.5
02158,AK,Kusilvak Census Area,PCTPOVALL_2023,30.8
02164,AK,Lake and Peninsula Borough,PCTPOVALL_2023,20.400000000000002
02170,AK,Matanuska-Susitna Borough,PCTPOVALL_2023,9.700000000000001
02180,AK,Nome Census Area,PCTPOVALL_2023,20.700000000000003
02185,AK,North Slope Borough,PCTPOVALL_2023,12.0
02188,AK,Northwest Arctic Borough,PCTPOVALL_2023,19.1
02195,AK,Petersburg Borough,PCTPOVALL_2023,8.4
02198,AK,Prince of Wales-Hyder Census Area,PCTPOVALL_2023,15.700000000000001
02220,AK,Sitka Borough,PCTPOVALL_2023,9.3
02230,AK,Skagway Municipality,PCTPOVALL_2023,5.9
